web_url,snippet,lead_paragraph,abstract,headline,keywords,pub_date,document_type,news_desk,byline,type_of_material,_id,word_count
https://www.nytimes.com/2019/05/03/dining/climate-recipes-cooking.html,"How to cook dinner if you’re concerned about climate change. (Don’t worry, it’ll still be delicious.)","Hi and welcome to Five Weeknight Dishes. Have you seen our special climate change issue? I’m so proud of it, especially this Q. and A., which answers all the questions we hear about how to cook, shop and eat in our changing world.","How to cook dinner if you’re concerned about climate change. (Don’t worry, it’ll still be delicious.)","{'main': 'What You Eat Matters!', 'kicker': None, 'content_kicker': None, 'print_headline': 'Five Weeknight Dishes', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Cooking and Cookbooks', 'rank': 1, 'major': 'N'}]",2019-05-03T16:30:01+0000,article,Dining,"{'original': 'By Emily Weinstein', 'person': [{'firstname': 'Emily', 'middlename': None, 'lastname': 'Weinstein', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,5ccc6c8a40d36ff0709d6362,757
https://www.nytimes.com/2019/05/03/travel/Nobu-Ryokan-Malibu.html,"Spending the equivalent of a down payment on a car for one night at the Japanese-inspired Nobu Ryokan in Malibu, the writer worried: Could he live up to his room?","Carbon Beach is a beguiling and exclusive crescent of sand along the Pacific Ocean in Malibu, famous — infamous might be a better word — for the long and mostly losing battle conducted by its wealthy homeowners to keep the public off this stunning mile of coastline.","Spending the equivalent of a down payment on a car for one night at the Japanese-inspired Nobu Ryokan in Malibu, the writer worried: Could he live up to his room?","{'main': 'The Anxiety of the $2,300-a-Night Hotel Room', 'kicker': None, 'content_kicker': None, 'print_headline': 'A $2,300-a-Night Hotel Stay, Anxiety Included', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Hotels and Travel Lodgings', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Nobu', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Matsuhisa, Nobu', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Ellison, Lawrence J', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Malibu (Calif)', 'rank': 6, 'major': 'N'}]",2019-05-03T13:45:42+0000,article,Travel,"{'original': 'By Adam Nagourney', 'person': [{'firstname': 'Adam', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,5ccc460640d36ff0709d62f9,1656
https://www.nytimes.com/2019/05/03/realestate/over-60-renters.html,Older renters in New York City outnumber millennial renters. They also outnumber homeowners in their age range.,Does New York City have a bigger booster than Marcelle Shaoul? This is an easy question: It does not.,Older renters in New York City outnumber millennial renters. They also outnumber homeowners in their age range.,"{'main': 'Over 60: Why Own When You Can Rent?', 'kicker': None, 'content_kicker': None, 'print_headline': 'Their Ownership Days Are Over', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Renting and Leasing (Real Estate)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Manhattan (NYC)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Baby Boomers', 'rank': 4, 'major': 'N'}]",2019-05-03T09:00:01+0000,article,RealEstate,"{'original': 'By Joanne Kaufman', 'person': [{'firstname': 'Joanne', 'middlename': None, 'lastname': 'Kaufman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,5ccc031240d36ff0709d6248,1797
https://www.nytimes.com/interactive/2019/05/01/opinion/mueller-report-trump-quiz.html,You’ve spent the winter paying attention to the news. Let’s see how much you remember.,You’ve spent the winter paying attention to the news. Let’s see how much you remember.,You’ve spent the winter paying attention to the news. Let’s see how much you remember.,"{'main': 'Welcome to Spring Quiz', 'kicker': 'Op-Ed Columnist', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Immigration and Emigration', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Barr, William P', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Mueller, Robert S III', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J Jr', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Ivanka', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 10, 'major': 'N'}]",2019-05-01T22:46:12+0000,multimedia,Opinion,"{'original': 'By Gail Collins', 'person': [{'firstname': 'Gail', 'middlename': None, 'lastname': 'Collins', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Interactive Feature,5cca21b640d36ff0709d5e36,0
https://www.nytimes.com/2019/04/30/dining/climate-change-recipes-sustainable.html,"We have vegan, vegetarian and flexitarian options for climate change-conscious cooks.","So, you’re concerned about the environment and interested in changing your diet. That is an important first step. As Julia Moskin and Brad Plumer reported, “the world’s food system is responsible for about one-quarter of the planet-warming greenhouse gases that humans generate each year.” To help reduce your climate impact, we have dozens of recipes that omit the worst offenders (like beef and lamb) and are no less delicious for it.","We have vegan, vegetarian and flexitarian options for climate change-conscious cooks.","{'main': 'Our Best Recipes for Climate-Friendly Cooking', 'kicker': None, 'content_kicker': None, 'print_headline': 'Flavorful, Yes. Meaty, Not So Much.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Cooking and Cookbooks', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Global Warming', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Veganism', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Vegetarianism', 'rank': 5, 'major': 'N'}]",2019-04-30T21:40:09+0000,article,Dining,"{'original': 'By Mark Josephson', 'person': [{'firstname': 'Mark', 'middlename': None, 'lastname': 'Josephson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,5cc8c0ba40d36ff0709d5af0,583
https://www.nytimes.com/interactive/2019/04/30/dining/climate-change-food-eating-habits.html,"How to shop, cook and eat in a warming world.","How to shop, cook and eat in a warming world.","How to shop, cook and eat in a warming world.","{'main': 'Your Questions About Food and Climate Change, Answered', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Global Warming', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Food', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Agriculture and Farming', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Cooking and Cookbooks', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dairy Products', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Carbon Capture and Sequestration', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Organic Foods and Products', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Meat', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Beef', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Cheese', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Conservation of Resources', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Shopping and Retail', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Sustainable Living', 'rank': 13, 'major': 'N'}]",2019-04-30T20:39:00+0000,multimedia,Food,"{'original': 'By Julia Moskin, Brad Plumer, Rebecca Lieberman, Eden Weingart and Nadja Popovich', 'person': [{'firstname': 'Julia', 'middlename': None, 'lastname': 'Moskin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Brad', 'middlename': None, 'lastname': 'Plumer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}, {'firstname': 'Rebecca', 'middlename': None, 'lastname': 'Lieberman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 3}, {'firstname': 'Eden', 'middlename': None, 'lastname': 'Weingart', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 4}, {'firstname': 'Nadja', 'middlename': None, 'lastname': 'Popovich', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 5}], 'organization': None}",Interactive Feature,5cc8b26540d36ff0709d5ac0,0
https://www.nytimes.com/2019/04/30/dining/seaweed-snacks.html,"If you’re not ready to cook with kelp but are interested in trying a bite or two, here are some prepared seaweed products worth seeking out.","A compound butter that combines seaweed, cultured butter and sea salt, this is wonderful melted over boiled potatoes, stirred into pasta or rice, dolloped over roasted vegetables, chicken and especially seafood. I love it smeared on warm bread and topped with smoked salmon. Bordier makes a fine one, imported from Brittany in northwestern France and available at gourmet shops. And Beurre de la Mer, made from Vermont Creamery butter and a mix of seaweeds, is available from The Chef’s Warehouse.","If you’re not ready to cook with kelp but are interested in trying a bite or two, here are some prepared seaweed products worth seeking out.","{'main': 'Seaweed Products to Sample', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Cooking and Cookbooks', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Seaweed', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 3, 'major': 'N'}]",2019-04-30T15:31:20+0000,article,National,"{'original': 'By Melissa Clark', 'person': [{'firstname': 'Melissa', 'middlename': None, 'lastname': 'Clark', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,5cc86a5240d36ff0709d59d5,465
https://www.nytimes.com/2019/04/30/climate/these-five-cuisines-are-easier-on-the-planet.html,"There is no magic cuisine to save our species. There are, however, many ways to eat sustainably.","Can I eat well without wrecking the planet? As a climate reporter and personal chef to a growing, ravenous child, I think about this question a lot. Is there a cuisine somewhere in the world that is healthy both for us and for the planet we live on? And if one exists, would we even want to eat it?","There is no magic cuisine to save our species. There are, however, many ways to eat sustainably.","{'main': 'These Five Cuisines Are Easier on the Planet', 'kicker': None, 'content_kicker': None, 'print_headline': 'A World of Good Examples', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Global Warming', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Indian Food (Cuisine)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Lentils', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Cooking and Cookbooks', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mussels', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Clams', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Scallops', 'rank': 7, 'major': 'N'}]",2019-04-30T09:00:20+0000,article,Dining,"{'original': 'By Somini Sengupta', 'person': [{'firstname': 'Somini', 'middlename': None, 'lastname': 'Sengupta', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,5cc80ea540d36ff0709d58d1,1578
https://www.nytimes.com/2019/04/25/style/white-privilege-begets-parenting.html,A reader asks: Can I tell my friend that race should play a bigger role in her parenting?,"My good friend, who is white, is raising her young biracial daughter as a single mother. She is a loving mom, but in my opinion, she has not given enough thought to helping her daughter form a healthy self-image as a person of color. My friend is not a racist, but she was raised in an insular white community, and she has not reflected sufficiently on her white privilege. As a childless white woman, I am not the best person to give advice on parenting or racial sensitivity. But I would like my friend to reflect on these issues soon. Is there a supportive way to tell her this?",A reader asks: Can I tell my friend that race should play a bigger role in her parenting?,"{'main': 'White Privilege Begets White Privilege', 'kicker': 'Social Q’s', 'content_kicker': None, 'print_headline': 'Her Daughter. Her Call.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Customs, Etiquette and Manners', 'rank': 1, 'major': 'N'}]",2019-04-25T16:47:07+0000,article,Styles,"{'original': 'By Philip Galanes', 'person': [{'firstname': 'Philip', 'middlename': None, 'lastname': 'Galanes', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,5cc1e48c40d36ff0709d4e15,848
https://www.nytimes.com/2019/04/23/pageoneplus/corrections-april-24-2019.html,"Corrections appearing in print on Wednesday, April 24, 2019.",PAGES A2-A3,"Corrections appearing in print on Wednesday, April 24, 2019.","{'main': 'Corrections: April 24, 2019', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2019-04-24T02:05:08+0000,article,Corrections,"{'original': None, 'person': None, 'organization': None}",Correction,5cbfc45540d36ff0709d48c0,387
